wavelength,RED,GREEN,BLUE,ORANGE
590,6.81E-04,1.20E-03,3.00E-05,5.21E-02
592,8.74E-04,1.04E-03,3.11E-05,5.96E-02
594,1.12E-03,9.11E-04,3.13E-05,5.94E-02
596,1.43E-03,7.97E-04,3.09E-05,4.89E-02
598,1.83E-03,6.97E-04,3.19E-05,3.40E-02
600,2.33E-03,6.08E-04,3.17E-05,2.20E-02
602,2.95E-03,5.36E-04,3.07E-05,1.43E-02
604,3.73E-03,4.69E-04,3.08E-05,9.55E-03
606,4.70E-03,4.13E-04,3.06E-05,6.37E-03
608,5.91E-03,3.63E-04,3.01E-05,4.19E-03
610,7.44E-03,3.19E-04,2.96E-05,2.76E-03
612,9.38E-03,2.81E-04,2.87E-05,1.85E-03
614,1.18E-02,2.49E-04,2.82E-05,1.29E-03
616,1.48E-02,2.19E-04,2.75E-05,9.30E-04
618,1.84E-02,1.94E-04,2.70E-05,6.88E-04
620,2.27E-02,1.71E-04,2.59E-05,5.07E-04
622,2.78E-02,1.53E-04,2.57E-05,3.71E-04
624,3.39E-02,1.35E-04,2.54E-05,2.66E-04
626,4.11E-02,1.20E-04,2.48E-05,1.95E-04
628,4.88E-02,1.07E-04,2.37E-05,1.44E-04
630,5.46E-02,9.55E-05,2.31E-05,1.08E-04
632,5.37E-02,8.56E-05,2.32E-05,8.46E-05
634,4.30E-02,7.71E-05,2.30E-05,6.63E-05
636,2.87E-02,6.88E-05,2.18E-05,5.37E-05
638,1.83E-02,6.24E-05,2.17E-05,4.38E-05
640,1.20E-02,5.58E-05,2.21E-05,3.74E-05
642,8.02E-03,5.10E-05,2.21E-05,3.24E-05
644,5.39E-03,4.66E-05,2.33E-05,2.75E-05
646,3.57E-03,4.27E-05,2.31E-05,2.48E-05
648,2.34E-03,3.93E-05,2.35E-05,2.21E-05
650,1.56E-03,3.59E-05,2.41E-05,2.08E-05
652,1.07E-03,3.37E-05,2.49E-05,1.94E-05
654,7.62E-04,3.08E-05,2.49E-05,1.87E-05
656,5.57E-04,2.90E-05,2.52E-05,1.75E-05
658,4.14E-04,2.61E-05,2.30E-05,1.75E-05
660,3.12E-04,2.38E-05,2.07E-05,1.57E-05
662,2.32E-04,2.17E-05,1.86E-05,1.62E-05
664,1.74E-04,2.02E-05,1.73E-05,1.44E-05
666,1.31E-04,1.85E-05,1.64E-05,1.50E-05
668,1.02E-04,1.78E-05,1.51E-05,1.50E-05
670,7.74E-05,1.53E-05,1.38E-05,1.36E-05
672,6.14E-05,1.47E-05,1.29E-05,1.30E-05
674,4.88E-05,1.28E-05,1.22E-05,1.13E-05
676,4.03E-05,1.21E-05,1.03E-05,1.16E-05
678,3.59E-05,1.16E-05,1.01E-05,9.81E-06
680,3.26E-05,9.59E-06,7.96E-06,9.06E-06
682,2.78E-05,9.67E-06,9.49E-06,9.39E-06
684,2.50E-05,8.41E-06,7.88E-06,9.04E-06
686,2.30E-05,7.68E-06,7.01E-06,7.11E-06
688,2.00E-05,7.14E-06,6.62E-06,7.21E-06
690,2.00E-05,6.92E-06,6.45E-06,8.10E-06
692,1.82E-05,6.74E-06,6.85E-06,8.43E-06
694,1.80E-05,6.31E-06,6.84E-06,7.02E-06
696,1.59E-05,5.81E-06,7.18E-06,7.57E-06
698,1.66E-05,5.26E-06,7.00E-06,7.39E-06
700,1.56E-05,5.03E-06,5.66099E-06,7.69E-06
702,1.47E-05,4.56E-06,5.75E-06,8.22E-06
704,1.28E-05,4.22E-06,5.61E-06,9.88E-06
706,1.22E-05,3.63E-06,6.41E-06,8.10E-06
708,1.20E-05,4.12E-06,5.20E-06,7.31E-06
710,1.19E-05,3.18E-06,6.23E-06,6.22E-06
712,9.41E-06,3.15E-06,4.91E-06,5.45E-06
714,6.59E-06,3.67E-06,4.92E-06,5.30E-06
716,5.74E-06,2.62E-06,4.90E-06,6.04E-06
718,5.86E-06,2.79E-06,4.83E-06,6.39E-06
720,3.58E-06,2.83E-06,4.01E-06,4.60E-06
722,5.60E-06,2.81E-06,3.33E-06,2.40E-06
724,7.04E-06,2.91E-06,2.47E-06,3.84E-06
726,4.77E-06,2.76E-06,2.28E-06,9.95E-07
728,5.14E-06,2.02E-06,2.06E-06,2.13E-06
730,7.35E-06,1.76E-06,2.00E-06,7.39E-07
732,6.99E-06,2.26E-06,3.12E-06,8.67E-07
734,7.01E-06,2.03E-06,2.40E-06,2.33E-06
736,8.72E-06,1.60E-06,1.37E-06,1.96E-06
738,5.32E-06,2.22E-06,1.76E-06,2.32E-06
740,9.69E-06,1.56E-06,2.98E-06,1.67E-06
742,9.21E-06,1.83E-06,9.89E-07,5.25E-06
744,1.18E-05,1.81E-06,2.28E-06,4.80E-06
746,8.03E-06,1.86E-06,4.12E-06,5.11E-06
748,8.49E-06,9.16E-07,8.68E-07,6.51E-06
750,9.80E-06,8.61E-07,1.34E-06,5.80E-06
752,7.37E-06,1.34E-06,-1.54E-07,6.13E-06
754,1.02E-05,-6.34E-08,2.69E-06,6.94E-06
756,9.98E-06,-3.74E-08,2.30E-06,5.70E-06
758,9.23E-06,-8.60E-07,2.88E-06,4.16E-06
760,8.54E-06,-7.38E-07,9.95E-07,5.75E-06
762,6.62E-06,2.68E-07,1.43E-06,5.58E-06
764,9.48E-06,-5.52E-07,2.65E-06,8.35E-06
766,6.83E-06,-1.82E-06,1.46E-06,5.82E-06
768,5.63E-06,-1.25E-06,2.80E-06,3.46E-06
770,1.22E-06,-1.73E-06,3.04E-08,6.34E-06
772,4.87E-06,-4.07E-07,1.14E-06,2.47E-07
774,8.68E-06,-1.37E-06,1.78E-06,4.37E-08
776,4.56E-06,1.97E-07,6.77E-07,4.99E-06
778,4.41E-06,-5.40E-07,-3.33E-07,2.46E-07
780,3.77E-06,1.06E-07,7.43E-07,2.00E-06
